date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:25:43.50,4.00,-0.06,0.78,305.30,-1012.33,-75.56
2025-02-07,14:25:44.00,4.00,0.63,0.71,842.22,85.08,789.37
2025-02-07,14:25:44.50,1.51,-0.21,0.46,-99.18,277.47,118.16
2025-02-07,14:25:45.00,2.87,0.19,-0.84,89.97,652.34,-144.71
2025-02-07,14:25:45.50,0.74,-0.15,-0.26,-57.62,163.09,-105.65
2025-02-07,14:25:46.00,0.81,-0.24,-0.35,8.12,18.43,-57.62
2025-02-07,14:25:46.50,3.73,0.60,0.37,-9.70,-705.14,497.50
2025-02-07,14:25:47.00,1.28,-0.14,0.55,-28.56,133.12,144.41
2025-02-07,14:25:47.50,0.96,-0.25,0.65,33.87,-76.48,-13.06
2025-02-07,14:25:48.00,1.00,-0.17,0.41,52.12,-41.93,22.34
2025-02-07,14:25:48.50,1.04,-0.15,0.64,94.36,32.35,39.25
2025-02-07,14:25:49.00,0.80,0.24,0.76,128.54,-19.53,90.27
2025-02-07,14:25:49.50,0.27,0.22,0.78,20.87,88.99,19.53
2025-02-07,14:25:50.00,0.75,0.39,-0.49,1204.65,136.54,-307.25
2025-02-07,14:25:50.50,0.85,0.01,-0.16,32.59,-71.78,217.53
2025-02-07,14:25:51.00,0.76,-0.28,0.38,137.57,-34.73,-82.76
2025-02-07,14:25:51.50,0.95,-0.29,0.16,86.18,74.46,36.13
2025-02-07,14:25:52.00,0.86,-0.23,0.63,42.79,53.83,-13.79
2025-02-07,14:25:52.50,0.74,0.08,0.75,61.65,-69.09,34.67
2025-02-07,14:25:53.00,0.57,-0.03,0.63,5.00,-12.76,55.18
2025-02-07,14:25:53.50,0.64,-0.08,0.83,0.85,60.00,-2.38
2025-02-07,14:25:54.00,0.50,0.11,0.92,32.90,13.79,47.06
2025-02-07,14:25:54.50,0.49,0.04,0.89,24.29,-51.76,66.89
2025-02-07,14:25:55.00,0.46,0.10,0.92,21.85,-0.18,80.38
2025-02-07,14:25:55.50,0.26,-0.05,0.94,-6.10,52.61,258.73
2025-02-07,14:25:56.00,3.66,-0.32,0.28,309.57,-256.90,-653.38
2025-02-07,14:25:56.50,1.64,0.21,-0.30,-249.33,289.61,143.55
2025-02-07,14:25:57.00,1.05,-0.19,-0.06,47.18,-54.08,69.46
2025-02-07,14:25:57.50,0.96,-0.06,-0.03,-52.25,11.17,-5.98
2025-02-07,14:25:58.00,1.26,-0.06,0.52,-166.02,-59.94,268.25
2025-02-07,14:25:58.50,1.96,-0.29,-0.48,-603.88,223.27,-103.15
2025-02-07,14:25:59.00,1.24,-0.21,-0.30,80.14,-71.53,-36.50
2025-02-07,14:25:59.50,0.85,-0.25,-0.08,91.61,-229.13,-223.63
2025-02-07,14:26:0.00,1.13,-0.41,0.09,200.07,52.61,-9.03
